Dataset_id,Public_dataset_id,Data_path,Data_type,Notes_download,Pubmed_id,Disease,Status,Control,Species,Brain_region,Treatment,Sex,Stage,Age,N_cells,Protocol,Methodology,Model,Protocol details,JUST KEEP FOR SEARCH (NO NEED),Notes,
HD004017,GSM5478598,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID36543778/GSE180928_filtered_cell_counts.csv.gz,csv_whole,whole,36543778,HD,Disease,No,Human,Accumbens,,Male,no data available,58 years,,10x Genomics,single-nucleus RNA sequencing,,"The tissue was homogenized in a Dounce homogenizer with 12–15 strokes of the loose pestle and 12–15 strokes of the tight pestle on ice in a Triton X-100 based, sucrose containing buffer. The suspension from each sample was filtered through a BD Falcon tubes with a cell strainer caps (Becton Dickinson, cat. no. 352235), washed, re-filtered, washed, followed by a cleanup step using iodixanol gradient centrifugation. The nuclear pellet was then re-suspended in 1% BSA in 545 nuclease-free PBS (containing RNAse inhibitors) and titrated to 600-1200 nuclei/μl.Nuclear suspensions were processed by the Chromium Controller (10x Genomics) using single Cell 3′ Reagent Kit v2 or v3 (Chromium Single Cell 3′ Library & Gel Bead Kit v2/v3, catalog number PN-1000075; Chromium Single Cell A Chip Kit, 48 runs, catalog number: 120236; 10x Genomics). Sequencing and alignment: Sequencing of the snRNAseq libraries was done on Illumina NOVAseq 6000 platformV4 150 bp paired end reads.",,,
HD004018,GSM5478599,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID36543778/GSE180928_filtered_cell_counts.csv.gz,csv_whole,whole,36543778,HD,Disease,No,Human,Caudate,,Male,no data available,56 years,,10x Genomics,single-nucleus RNA sequencing,,"The tissue was homogenized in a Dounce homogenizer with 12–15 strokes of the loose pestle and 12–15 strokes of the tight pestle on ice in a Triton X-100 based, sucrose containing buffer. The suspension from each sample was filtered through a BD Falcon tubes with a cell strainer caps (Becton Dickinson, cat. no. 352235), washed, re-filtered, washed, followed by a cleanup step using iodixanol gradient centrifugation. The nuclear pellet was then re-suspended in 1% BSA in 545 nuclease-free PBS (containing RNAse inhibitors) and titrated to 600-1200 nuclei/μl.Nuclear suspensions were processed by the Chromium Controller (10x Genomics) using single Cell 3′ Reagent Kit v2 or v3 (Chromium Single Cell 3′ Library & Gel Bead Kit v2/v3, catalog number PN-1000075; Chromium Single Cell A Chip Kit, 48 runs, catalog number: 120236; 10x Genomics). Sequencing and alignment: Sequencing of the snRNAseq libraries was done on Illumina NOVAseq 6000 platformV4 150 bp paired end reads.",,,
HD004019,GSM5478600,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID36543778/GSE180928_filtered_cell_counts.csv.gz,csv_whole,whole,36543778,HD,Healthy,Yes,Human,Caudate,,Male,no data available,36 years,,10x Genomics,single-nucleus RNA sequencing,,"The tissue was homogenized in a Dounce homogenizer with 12–15 strokes of the loose pestle and 12–15 strokes of the tight pestle on ice in a Triton X-100 based, sucrose containing buffer. The suspension from each sample was filtered through a BD Falcon tubes with a cell strainer caps (Becton Dickinson, cat. no. 352235), washed, re-filtered, washed, followed by a cleanup step using iodixanol gradient centrifugation. The nuclear pellet was then re-suspended in 1% BSA in 545 nuclease-free PBS (containing RNAse inhibitors) and titrated to 600-1200 nuclei/μl.Nuclear suspensions were processed by the Chromium Controller (10x Genomics) using single Cell 3′ Reagent Kit v2 or v3 (Chromium Single Cell 3′ Library & Gel Bead Kit v2/v3, catalog number PN-1000075; Chromium Single Cell A Chip Kit, 48 runs, catalog number: 120236; 10x Genomics). Sequencing and alignment: Sequencing of the snRNAseq libraries was done on Illumina NOVAseq 6000 platformV4 150 bp paired end reads.",,,
HD004020,GSM5478601,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID36543778/GSE180928_filtered_cell_counts.csv.gz,csv_whole,whole,36543778,HD,Disease,No,Human,Caudate,,Male,no data available,64 years,,10x Genomics,single-nucleus RNA sequencing,,"The tissue was homogenized in a Dounce homogenizer with 12–15 strokes of the loose pestle and 12–15 strokes of the tight pestle on ice in a Triton X-100 based, sucrose containing buffer. The suspension from each sample was filtered through a BD Falcon tubes with a cell strainer caps (Becton Dickinson, cat. no. 352235), washed, re-filtered, washed, followed by a cleanup step using iodixanol gradient centrifugation. The nuclear pellet was then re-suspended in 1% BSA in 545 nuclease-free PBS (containing RNAse inhibitors) and titrated to 600-1200 nuclei/μl.Nuclear suspensions were processed by the Chromium Controller (10x Genomics) using single Cell 3′ Reagent Kit v2 or v3 (Chromium Single Cell 3′ Library & Gel Bead Kit v2/v3, catalog number PN-1000075; Chromium Single Cell A Chip Kit, 48 runs, catalog number: 120236; 10x Genomics). Sequencing and alignment: Sequencing of the snRNAseq libraries was done on Illumina NOVAseq 6000 platformV4 150 bp paired end reads.",,,
HD004021,GSM5478602,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID36543778/GSE180928_filtered_cell_counts.csv.gz,csv_whole,whole,36543778,HD,Healthy,Yes,Human,Caudate,,Male,no data available,75 years,,10x Genomics,single-nucleus RNA sequencing,,"The tissue was homogenized in a Dounce homogenizer with 12–15 strokes of the loose pestle and 12–15 strokes of the tight pestle on ice in a Triton X-100 based, sucrose containing buffer. The suspension from each sample was filtered through a BD Falcon tubes with a cell strainer caps (Becton Dickinson, cat. no. 352235), washed, re-filtered, washed, followed by a cleanup step using iodixanol gradient centrifugation. The nuclear pellet was then re-suspended in 1% BSA in 545 nuclease-free PBS (containing RNAse inhibitors) and titrated to 600-1200 nuclei/μl.Nuclear suspensions were processed by the Chromium Controller (10x Genomics) using single Cell 3′ Reagent Kit v2 or v3 (Chromium Single Cell 3′ Library & Gel Bead Kit v2/v3, catalog number PN-1000075; Chromium Single Cell A Chip Kit, 48 runs, catalog number: 120236; 10x Genomics). Sequencing and alignment: Sequencing of the snRNAseq libraries was done on Illumina NOVAseq 6000 platformV4 150 bp paired end reads.",,,
HD004022,GSM5478603,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID36543778/GSE180928_filtered_cell_counts.csv.gz,csv_whole,whole,36543778,HD,Disease,No,Human,Caudate,,Female,no data available,55 years,,10x Genomics,single-nucleus RNA sequencing,,"The tissue was homogenized in a Dounce homogenizer with 12–15 strokes of the loose pestle and 12–15 strokes of the tight pestle on ice in a Triton X-100 based, sucrose containing buffer. The suspension from each sample was filtered through a BD Falcon tubes with a cell strainer caps (Becton Dickinson, cat. no. 352235), washed, re-filtered, washed, followed by a cleanup step using iodixanol gradient centrifugation. The nuclear pellet was then re-suspended in 1% BSA in 545 nuclease-free PBS (containing RNAse inhibitors) and titrated to 600-1200 nuclei/μl.Nuclear suspensions were processed by the Chromium Controller (10x Genomics) using single Cell 3′ Reagent Kit v2 or v3 (Chromium Single Cell 3′ Library & Gel Bead Kit v2/v3, catalog number PN-1000075; Chromium Single Cell A Chip Kit, 48 runs, catalog number: 120236; 10x Genomics). Sequencing and alignment: Sequencing of the snRNAseq libraries was done on Illumina NOVAseq 6000 platformV4 150 bp paired end reads.",,,
HD004023,GSM5478604,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID36543778/GSE180928_filtered_cell_counts.csv.gz,csv_whole,whole,36543778,HD,Disease,No,Human,Caudate,,Male,no data available,58 years,,10x Genomics,single-nucleus RNA sequencing,,"The tissue was homogenized in a Dounce homogenizer with 12–15 strokes of the loose pestle and 12–15 strokes of the tight pestle on ice in a Triton X-100 based, sucrose containing buffer. The suspension from each sample was filtered through a BD Falcon tubes with a cell strainer caps (Becton Dickinson, cat. no. 352235), washed, re-filtered, washed, followed by a cleanup step using iodixanol gradient centrifugation. The nuclear pellet was then re-suspended in 1% BSA in 545 nuclease-free PBS (containing RNAse inhibitors) and titrated to 600-1200 nuclei/μl.Nuclear suspensions were processed by the Chromium Controller (10x Genomics) using single Cell 3′ Reagent Kit v2 or v3 (Chromium Single Cell 3′ Library & Gel Bead Kit v2/v3, catalog number PN-1000075; Chromium Single Cell A Chip Kit, 48 runs, catalog number: 120236; 10x Genomics). Sequencing and alignment: Sequencing of the snRNAseq libraries was done on Illumina NOVAseq 6000 platformV4 150 bp paired end reads.",,,
HD004024,GSM5478605,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID36543778/GSE180928_filtered_cell_counts.csv.gz,csv_whole,whole,36543778,HD,Healthy,Yes,Human,Caudate,,no data available,no data available,,,10x Genomics,single-nucleus RNA sequencing,,"The tissue was homogenized in a Dounce homogenizer with 12–15 strokes of the loose pestle and 12–15 strokes of the tight pestle on ice in a Triton X-100 based, sucrose containing buffer. The suspension from each sample was filtered through a BD Falcon tubes with a cell strainer caps (Becton Dickinson, cat. no. 352235), washed, re-filtered, washed, followed by a cleanup step using iodixanol gradient centrifugation. The nuclear pellet was then re-suspended in 1% BSA in 545 nuclease-free PBS (containing RNAse inhibitors) and titrated to 600-1200 nuclei/μl.Nuclear suspensions were processed by the Chromium Controller (10x Genomics) using single Cell 3′ Reagent Kit v2 or v3 (Chromium Single Cell 3′ Library & Gel Bead Kit v2/v3, catalog number PN-1000075; Chromium Single Cell A Chip Kit, 48 runs, catalog number: 120236; 10x Genomics). Sequencing and alignment: Sequencing of the snRNAseq libraries was done on Illumina NOVAseq 6000 platformV4 150 bp paired end reads.",,,
HD004025,GSM5478606,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID36543778/GSE180928_filtered_cell_counts.csv.gz,csv_whole,whole,36543778,HD,Disease,No,Human,Cingulate,,Male,no data available,56 years,,10x Genomics,single-nucleus RNA sequencing,,"The tissue was homogenized in a Dounce homogenizer with 12–15 strokes of the loose pestle and 12–15 strokes of the tight pestle on ice in a Triton X-100 based, sucrose containing buffer. The suspension from each sample was filtered through a BD Falcon tubes with a cell strainer caps (Becton Dickinson, cat. no. 352235), washed, re-filtered, washed, followed by a cleanup step using iodixanol gradient centrifugation. The nuclear pellet was then re-suspended in 1% BSA in 545 nuclease-free PBS (containing RNAse inhibitors) and titrated to 600-1200 nuclei/μl.Nuclear suspensions were processed by the Chromium Controller (10x Genomics) using single Cell 3′ Reagent Kit v2 or v3 (Chromium Single Cell 3′ Library & Gel Bead Kit v2/v3, catalog number PN-1000075; Chromium Single Cell A Chip Kit, 48 runs, catalog number: 120236; 10x Genomics). Sequencing and alignment: Sequencing of the snRNAseq libraries was done on Illumina NOVAseq 6000 platformV4 150 bp paired end reads.",,,
HD004026,GSM5478607,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID36543778/GSE180928_filtered_cell_counts.csv.gz,csv_whole,whole,36543778,HD,Disease,No,Human,Cingulate,,Male,no data available,64 years,,10x Genomics,single-nucleus RNA sequencing,,"The tissue was homogenized in a Dounce homogenizer with 12–15 strokes of the loose pestle and 12–15 strokes of the tight pestle on ice in a Triton X-100 based, sucrose containing buffer. The suspension from each sample was filtered through a BD Falcon tubes with a cell strainer caps (Becton Dickinson, cat. no. 352235), washed, re-filtered, washed, followed by a cleanup step using iodixanol gradient centrifugation. The nuclear pellet was then re-suspended in 1% BSA in 545 nuclease-free PBS (containing RNAse inhibitors) and titrated to 600-1200 nuclei/μl.Nuclear suspensions were processed by the Chromium Controller (10x Genomics) using single Cell 3′ Reagent Kit v2 or v3 (Chromium Single Cell 3′ Library & Gel Bead Kit v2/v3, catalog number PN-1000075; Chromium Single Cell A Chip Kit, 48 runs, catalog number: 120236; 10x Genomics). Sequencing and alignment: Sequencing of the snRNAseq libraries was done on Illumina NOVAseq 6000 platformV4 150 bp paired end reads.",,,
HD004027,GSM5478608,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID36543778/GSE180928_filtered_cell_counts.csv.gz,csv_whole,whole,36543778,HD,Healthy,Yes,Human,Cingulate,,Male,no data available,75 years,,10x Genomics,single-nucleus RNA sequencing,,"The tissue was homogenized in a Dounce homogenizer with 12–15 strokes of the loose pestle and 12–15 strokes of the tight pestle on ice in a Triton X-100 based, sucrose containing buffer. The suspension from each sample was filtered through a BD Falcon tubes with a cell strainer caps (Becton Dickinson, cat. no. 352235), washed, re-filtered, washed, followed by a cleanup step using iodixanol gradient centrifugation. The nuclear pellet was then re-suspended in 1% BSA in 545 nuclease-free PBS (containing RNAse inhibitors) and titrated to 600-1200 nuclei/μl.Nuclear suspensions were processed by the Chromium Controller (10x Genomics) using single Cell 3′ Reagent Kit v2 or v3 (Chromium Single Cell 3′ Library & Gel Bead Kit v2/v3, catalog number PN-1000075; Chromium Single Cell A Chip Kit, 48 runs, catalog number: 120236; 10x Genomics). Sequencing and alignment: Sequencing of the snRNAseq libraries was done on Illumina NOVAseq 6000 platformV4 150 bp paired end reads.",,,
HD004028,GSM5478609,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID36543778/GSE180928_filtered_cell_counts.csv.gz,csv_whole,whole,36543778,HD,Disease,No,Human,Cingulate,,Female,no data available,55 years,,10x Genomics,single-nucleus RNA sequencing,,"The tissue was homogenized in a Dounce homogenizer with 12–15 strokes of the loose pestle and 12–15 strokes of the tight pestle on ice in a Triton X-100 based, sucrose containing buffer. The suspension from each sample was filtered through a BD Falcon tubes with a cell strainer caps (Becton Dickinson, cat. no. 352235), washed, re-filtered, washed, followed by a cleanup step using iodixanol gradient centrifugation. The nuclear pellet was then re-suspended in 1% BSA in 545 nuclease-free PBS (containing RNAse inhibitors) and titrated to 600-1200 nuclei/μl.Nuclear suspensions were processed by the Chromium Controller (10x Genomics) using single Cell 3′ Reagent Kit v2 or v3 (Chromium Single Cell 3′ Library & Gel Bead Kit v2/v3, catalog number PN-1000075; Chromium Single Cell A Chip Kit, 48 runs, catalog number: 120236; 10x Genomics). Sequencing and alignment: Sequencing of the snRNAseq libraries was done on Illumina NOVAseq 6000 platformV4 150 bp paired end reads.",,,
HD004029,GSM5478610,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID36543778/GSE180928_filtered_cell_counts.csv.gz,csv_whole,whole,36543778,HD,Disease,No,Human,Cingulate,,Male,no data available,58 years,,10x Genomics,single-nucleus RNA sequencing,,"The tissue was homogenized in a Dounce homogenizer with 12–15 strokes of the loose pestle and 12–15 strokes of the tight pestle on ice in a Triton X-100 based, sucrose containing buffer. The suspension from each sample was filtered through a BD Falcon tubes with a cell strainer caps (Becton Dickinson, cat. no. 352235), washed, re-filtered, washed, followed by a cleanup step using iodixanol gradient centrifugation. The nuclear pellet was then re-suspended in 1% BSA in 545 nuclease-free PBS (containing RNAse inhibitors) and titrated to 600-1200 nuclei/μl.Nuclear suspensions were processed by the Chromium Controller (10x Genomics) using single Cell 3′ Reagent Kit v2 or v3 (Chromium Single Cell 3′ Library & Gel Bead Kit v2/v3, catalog number PN-1000075; Chromium Single Cell A Chip Kit, 48 runs, catalog number: 120236; 10x Genomics). Sequencing and alignment: Sequencing of the snRNAseq libraries was done on Illumina NOVAseq 6000 platformV4 150 bp paired end reads.",,,
HD004030,GSM5478611,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID36543778/GSE180928_filtered_cell_counts.csv.gz,csv_whole,whole,36543778,HD,Healthy,Yes,Human,Cingulate,,Male,no data available,75 years,,10x Genomics,single-nucleus RNA sequencing,,"The tissue was homogenized in a Dounce homogenizer with 12–15 strokes of the loose pestle and 12–15 strokes of the tight pestle on ice in a Triton X-100 based, sucrose containing buffer. The suspension from each sample was filtered through a BD Falcon tubes with a cell strainer caps (Becton Dickinson, cat. no. 352235), washed, re-filtered, washed, followed by a cleanup step using iodixanol gradient centrifugation. The nuclear pellet was then re-suspended in 1% BSA in 545 nuclease-free PBS (containing RNAse inhibitors) and titrated to 600-1200 nuclei/μl.Nuclear suspensions were processed by the Chromium Controller (10x Genomics) using single Cell 3′ Reagent Kit v2 or v3 (Chromium Single Cell 3′ Library & Gel Bead Kit v2/v3, catalog number PN-1000075; Chromium Single Cell A Chip Kit, 48 runs, catalog number: 120236; 10x Genomics). Sequencing and alignment: Sequencing of the snRNAseq libraries was done on Illumina NOVAseq 6000 platformV4 150 bp paired end reads.",,,
HD004031,GSM5478612,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID36543778/GSE180928_filtered_cell_counts.csv.gz,csv_whole,whole,36543778,HD,Healthy,Yes,Human,Cingulate,,Male,no data available,75 years,,10x Genomics,single-nucleus RNA sequencing,,"The tissue was homogenized in a Dounce homogenizer with 12–15 strokes of the loose pestle and 12–15 strokes of the tight pestle on ice in a Triton X-100 based, sucrose containing buffer. The suspension from each sample was filtered through a BD Falcon tubes with a cell strainer caps (Becton Dickinson, cat. no. 352235), washed, re-filtered, washed, followed by a cleanup step using iodixanol gradient centrifugation. The nuclear pellet was then re-suspended in 1% BSA in 545 nuclease-free PBS (containing RNAse inhibitors) and titrated to 600-1200 nuclei/μl.Nuclear suspensions were processed by the Chromium Controller (10x Genomics) using single Cell 3′ Reagent Kit v2 or v3 (Chromium Single Cell 3′ Library & Gel Bead Kit v2/v3, catalog number PN-1000075; Chromium Single Cell A Chip Kit, 48 runs, catalog number: 120236; 10x Genomics). Sequencing and alignment: Sequencing of the snRNAseq libraries was done on Illumina NOVAseq 6000 platformV4 150 bp paired end reads.",,,
HD004032,GSM5478613,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID36543778/GSE180928_filtered_cell_counts.csv.gz,csv_whole,whole,36543778,HD,Disease,No,Human,Cingulate,,Female,no data available,50 years,,10x Genomics,single-nucleus RNA sequencing,,"The tissue was homogenized in a Dounce homogenizer with 12–15 strokes of the loose pestle and 12–15 strokes of the tight pestle on ice in a Triton X-100 based, sucrose containing buffer. The suspension from each sample was filtered through a BD Falcon tubes with a cell strainer caps (Becton Dickinson, cat. no. 352235), washed, re-filtered, washed, followed by a cleanup step using iodixanol gradient centrifugation. The nuclear pellet was then re-suspended in 1% BSA in 545 nuclease-free PBS (containing RNAse inhibitors) and titrated to 600-1200 nuclei/μl.Nuclear suspensions were processed by the Chromium Controller (10x Genomics) using single Cell 3′ Reagent Kit v2 or v3 (Chromium Single Cell 3′ Library & Gel Bead Kit v2/v3, catalog number PN-1000075; Chromium Single Cell A Chip Kit, 48 runs, catalog number: 120236; 10x Genomics). Sequencing and alignment: Sequencing of the snRNAseq libraries was done on Illumina NOVAseq 6000 platformV4 150 bp paired end reads.",,,
HD005001,GSE245631_Sample5,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID37807512/GSE245631_Sample5_counts.csv.gz,csv.gz,whole,37807512,HD,Disease,No,Mouse,striatum,,Female,no data available,,,Parse Biosciences,single-cell RNA sequencing,zQ175,"Mice were euthanized by pentobarbital overdose and perfused with 0.01 M PBS. Striatum was dissected out of the left hemisphere and flash-frozen. Single nuclei were isolated from flash frozen ½ hemisphere full striatal in Nuclei EZ Lysis buffer (Cat#NUC101-1KT, Sigma-Aldrich) and incubated for 5min. Samples were passed through a 70 μm filter and incubated in additional lysis buffer for 5min and centrifuged at 500 × g for 5min at 4 °C before two washes in Nuclei Wash and Resuspension buffer (1×PBS, 1% BSA, 0.2 U/μl RNase inhibitor). Nuclei were fixed using a Parse Biosciences WF100 kit and the manufacturers protocol (Parse Biosciences, Seattle, WA).Single-nucleus suspensions were fixed and frozen for 8 mouse brain tissue samples following the Parse Bioscience Fixation User Manual V1.3.0 (Parse Biosciences). Single-nucleus RNA-seq libraries were generated following the Parse Biosciences Single Cell Whole Transcriptome Kit User Manual V1.3.0 (Parse Biosciences). Quantification of cDNA libraries was performed using Qubit dsDNA HS Assay Kit (Life Technologies Q32851) and high-sensitivity DNA chips (Agilent. 5067-4626). Quantification of final cDNA libraries was performed using KAPA qPCR (Kapa Biosystems KK4824). Sequencing of single-cell libraries was performed on the Illumina NovaSeq 6000 platform to target an average of ~50,000 reads per cell.",,,
HD005002,GSE245631_Sample6,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID37807512/GSE245631_Sample6_counts.csv.gz,csv.gz,,37807512,HD,Disease,No,Mouse,striatum,,Female,no data available,,,Parse Biosciences,single-cell RNA sequencing,zQ175,"Mice were euthanized by pentobarbital overdose and perfused with 0.01 M PBS. Striatum was dissected out of the left hemisphere and flash-frozen. Single nuclei were isolated from flash frozen ½ hemisphere full striatal in Nuclei EZ Lysis buffer (Cat#NUC101-1KT, Sigma-Aldrich) and incubated for 5min. Samples were passed through a 70 μm filter and incubated in additional lysis buffer for 5min and centrifuged at 500 × g for 5min at 4 °C before two washes in Nuclei Wash and Resuspension buffer (1×PBS, 1% BSA, 0.2 U/μl RNase inhibitor). Nuclei were fixed using a Parse Biosciences WF100 kit and the manufacturers protocol (Parse Biosciences, Seattle, WA).Single-nucleus suspensions were fixed and frozen for 8 mouse brain tissue samples following the Parse Bioscience Fixation User Manual V1.3.0 (Parse Biosciences). Single-nucleus RNA-seq libraries were generated following the Parse Biosciences Single Cell Whole Transcriptome Kit User Manual V1.3.0 (Parse Biosciences). Quantification of cDNA libraries was performed using Qubit dsDNA HS Assay Kit (Life Technologies Q32851) and high-sensitivity DNA chips (Agilent. 5067-4626). Quantification of final cDNA libraries was performed using KAPA qPCR (Kapa Biosystems KK4824). Sequencing of single-cell libraries was performed on the Illumina NovaSeq 6000 platform to target an average of ~50,000 reads per cell.",,,
HD005003,GSE245631_Sample7,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID37807512/GSE245631_Sample7_counts.csv.gz,csv.gz,,37807512,HD,Disease,No,Mouse,striatum,,Female,no data available,,,Parse Biosciences,single-cell RNA sequencing,zQ175,"Mice were euthanized by pentobarbital overdose and perfused with 0.01 M PBS. Striatum was dissected out of the left hemisphere and flash-frozen. Single nuclei were isolated from flash frozen ½ hemisphere full striatal in Nuclei EZ Lysis buffer (Cat#NUC101-1KT, Sigma-Aldrich) and incubated for 5min. Samples were passed through a 70 μm filter and incubated in additional lysis buffer for 5min and centrifuged at 500 × g for 5min at 4 °C before two washes in Nuclei Wash and Resuspension buffer (1×PBS, 1% BSA, 0.2 U/μl RNase inhibitor). Nuclei were fixed using a Parse Biosciences WF100 kit and the manufacturers protocol (Parse Biosciences, Seattle, WA).Single-nucleus suspensions were fixed and frozen for 8 mouse brain tissue samples following the Parse Bioscience Fixation User Manual V1.3.0 (Parse Biosciences). Single-nucleus RNA-seq libraries were generated following the Parse Biosciences Single Cell Whole Transcriptome Kit User Manual V1.3.0 (Parse Biosciences). Quantification of cDNA libraries was performed using Qubit dsDNA HS Assay Kit (Life Technologies Q32851) and high-sensitivity DNA chips (Agilent. 5067-4626). Quantification of final cDNA libraries was performed using KAPA qPCR (Kapa Biosystems KK4824). Sequencing of single-cell libraries was performed on the Illumina NovaSeq 6000 platform to target an average of ~50,000 reads per cell.",,,
HD005004,GSE245631_Sample8,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID37807512/GSE245631_Sample8_counts.csv.gz,csv.gz,,37807512,HD,Disease,No,Mouse,striatum,,Female,no data available,,,Parse Biosciences,single-cell RNA sequencing,zQ175,"Mice were euthanized by pentobarbital overdose and perfused with 0.01 M PBS. Striatum was dissected out of the left hemisphere and flash-frozen. Single nuclei were isolated from flash frozen ½ hemisphere full striatal in Nuclei EZ Lysis buffer (Cat#NUC101-1KT, Sigma-Aldrich) and incubated for 5min. Samples were passed through a 70 μm filter and incubated in additional lysis buffer for 5min and centrifuged at 500 × g for 5min at 4 °C before two washes in Nuclei Wash and Resuspension buffer (1×PBS, 1% BSA, 0.2 U/μl RNase inhibitor). Nuclei were fixed using a Parse Biosciences WF100 kit and the manufacturers protocol (Parse Biosciences, Seattle, WA).Single-nucleus suspensions were fixed and frozen for 8 mouse brain tissue samples following the Parse Bioscience Fixation User Manual V1.3.0 (Parse Biosciences). Single-nucleus RNA-seq libraries were generated following the Parse Biosciences Single Cell Whole Transcriptome Kit User Manual V1.3.0 (Parse Biosciences). Quantification of cDNA libraries was performed using Qubit dsDNA HS Assay Kit (Life Technologies Q32851) and high-sensitivity DNA chips (Agilent. 5067-4626). Quantification of final cDNA libraries was performed using KAPA qPCR (Kapa Biosystems KK4824). Sequencing of single-cell libraries was performed on the Illumina NovaSeq 6000 platform to target an average of ~50,000 reads per cell.",,,
HD005005,GSE245631_Sample9,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID37807512/GSE245631_Sample9_counts.csv.gz,csv.gz,,37807512,HD,Disease,No,Mouse,striatum,,Female,no data available,,,Parse Biosciences,single-cell RNA sequencing,zQ175,"Mice were euthanized by pentobarbital overdose and perfused with 0.01 M PBS. Striatum was dissected out of the left hemisphere and flash-frozen. Single nuclei were isolated from flash frozen ½ hemisphere full striatal in Nuclei EZ Lysis buffer (Cat#NUC101-1KT, Sigma-Aldrich) and incubated for 5min. Samples were passed through a 70 μm filter and incubated in additional lysis buffer for 5min and centrifuged at 500 × g for 5min at 4 °C before two washes in Nuclei Wash and Resuspension buffer (1×PBS, 1% BSA, 0.2 U/μl RNase inhibitor). Nuclei were fixed using a Parse Biosciences WF100 kit and the manufacturers protocol (Parse Biosciences, Seattle, WA).Single-nucleus suspensions were fixed and frozen for 8 mouse brain tissue samples following the Parse Bioscience Fixation User Manual V1.3.0 (Parse Biosciences). Single-nucleus RNA-seq libraries were generated following the Parse Biosciences Single Cell Whole Transcriptome Kit User Manual V1.3.0 (Parse Biosciences). Quantification of cDNA libraries was performed using Qubit dsDNA HS Assay Kit (Life Technologies Q32851) and high-sensitivity DNA chips (Agilent. 5067-4626). Quantification of final cDNA libraries was performed using KAPA qPCR (Kapa Biosystems KK4824). Sequencing of single-cell libraries was performed on the Illumina NovaSeq 6000 platform to target an average of ~50,000 reads per cell.",,,
HD005006,GSE245631_Sample10,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID37807512/GSE245631_Sample10_counts.csv.gz,csv.gz,,37807512,HD,Disease,No,Mouse,striatum,,Female,no data available,,,Parse Biosciences,single-cell RNA sequencing,zQ175,"Mice were euthanized by pentobarbital overdose and perfused with 0.01 M PBS. Striatum was dissected out of the left hemisphere and flash-frozen. Single nuclei were isolated from flash frozen ½ hemisphere full striatal in Nuclei EZ Lysis buffer (Cat#NUC101-1KT, Sigma-Aldrich) and incubated for 5min. Samples were passed through a 70 μm filter and incubated in additional lysis buffer for 5min and centrifuged at 500 × g for 5min at 4 °C before two washes in Nuclei Wash and Resuspension buffer (1×PBS, 1% BSA, 0.2 U/μl RNase inhibitor). Nuclei were fixed using a Parse Biosciences WF100 kit and the manufacturers protocol (Parse Biosciences, Seattle, WA).Single-nucleus suspensions were fixed and frozen for 8 mouse brain tissue samples following the Parse Bioscience Fixation User Manual V1.3.0 (Parse Biosciences). Single-nucleus RNA-seq libraries were generated following the Parse Biosciences Single Cell Whole Transcriptome Kit User Manual V1.3.0 (Parse Biosciences). Quantification of cDNA libraries was performed using Qubit dsDNA HS Assay Kit (Life Technologies Q32851) and high-sensitivity DNA chips (Agilent. 5067-4626). Quantification of final cDNA libraries was performed using KAPA qPCR (Kapa Biosystems KK4824). Sequencing of single-cell libraries was performed on the Illumina NovaSeq 6000 platform to target an average of ~50,000 reads per cell.",,,
