data_id,public_data_id,Disease,species,n_samples,pmid,library_prep_protocol,methodology,title,journal,author,citation,abstract,doi,Publish date,Brain Region,drug?,single cell?,scRNA index,n_sample of scRNA
ST059,GSE271011,ALS,Mouse / Human,7,39932195,10x genomics,Visium,Polyamine metabolism dysregulation contributes to muscle fiber vulnerability in ALS,Cell Reports,"Veronica Ruggieri , Silvia Scaricamazza , Andrea Bracaglia , Chiara D'Ercole , Cristina Parisi , Paolo D'Angelo , Daisy Proietti , Chiara Cappelletti , Alberto Macone , Biliana Lozanoska-Ochser , Marina Bouchè , Lucia Latella , Cristiana Valle , Alberto Ferri , Lorenzo Giordani , Luca Madaro","Ruggieri, V., Scaricamazza, S., Bracaglia, A., D’Ercole, C., Parisi, C., D’Angelo, P., ... & Madaro, L. (2025). Polyamine metabolism dysregulation contributes to muscle fiber vulnerability in ALS. Cell Reports, 44(1).","Amyotrophic lateral sclerosis (ALS) is a fatal neurodegenerative disease causing progressive paralysis due to motor neuron degeneration with no curative therapy despite extensive biomedical research. One of the primary targets of ALS is skeletal muscle, which undergoes profound functional changes as the disease progresses. To better understand how altered innervation interferes with muscle homeostasis during disease progression, we generated a spatial transcriptomics dataset of skeletal muscle in the SOD1G93A mouse model of ALS. Using this strategy, we identified polyamine metabolism as one of the main altered pathways in affected muscle fibers. By establishing a correlation between the vulnerability of muscle fibers and the dysregulation of this metabolic pathway, we show that disrupting polyamine homeostasis causes impairments similar to those seen in ALS muscle. Finally, we show that restoration of polyamine homeostasis rescues the muscle phenotype in SOD1G93A mice, opening new perspectives for the treatment of ALS.",10.1016/j.celrep.2024.115123,28-01-2025,Spinal cord,yes,no,,
ST060,GSE221692,ALS,Human,19,38177242,10x genomics,Visium,Decoding the spatiotemporal regulation of transcription factors during human spinal cord development,Cell Research,"Yingchao Shi , Luwei Huang  , Hao Dong  , Meng Yang , Wenyu Ding , Xiang Zhou  , Tian Lu  , Zeyuan Liu , Xin Zhou  , Mengdi Wang  , Bo Zeng , Yinuo Sun , Suijuan Zhong  , Bosong Wang , Wei Wang  , Chonghai Yin , Xiaoqun Wang   , Qian Wu","Shi, Y., Huang, L., Dong, H., Yang, M., Ding, W., Zhou, X., ... & Wu, Q. (2024). Decoding the spatiotemporal regulation of transcription factors during human spinal cord development. Cell Research, 34(3), 193-213.","The spinal cord is a crucial component of the central nervous system that facilitates sensory processing and motor performance. Despite its importance, the spatiotemporal codes underlying human spinal cord development have remained elusive. In this study, we have introduced an image-based single-cell transcription factor (TF) expression decoding spatial transcriptome method (TF-seqFISH) to investigate the spatial expression and regulation of TFs during human spinal cord development. By combining spatial transcriptomic data from TF-seqFISH and single-cell RNA-sequencing data, we uncovered the spatial distribution of neural progenitor cells characterized by combinatorial TFs along the dorsoventral axis, as well as the molecular and spatial features governing neuronal generation, migration, and differentiation along the mediolateral axis. Notably, we observed a sandwich-like organization of excitatory and inhibitory interneurons transiently appearing in the dorsal horns of the developing human spinal cord. In addition, we integrated data from 10× Visium to identify early and late waves of neurogenesis in the dorsal horn, revealing the formation of laminas in the dorsal horns. Our study also illuminated the spatial differences and molecular cues underlying motor neuron (MN) diversification, and the enrichment of Amyotrophic Lateral Sclerosis (ALS) risk genes in MNs and microglia. Interestingly, we detected disease-associated microglia (DAM)-like microglia groups in the developing human spinal cord, which are predicted to be vulnerable to ALS and engaged in the TYROBP causal network and response to unfolded proteins. These findings provide spatiotemporal transcriptomic resources on the developing human spinal cord and potential strategies for spinal cord injury repair and ALS treatment.",10.1038/s41422-023-00897-x,1/3/24,Developing spinal cord,no,No,,
ST061,GSE243077,ALS,Human,13,38934400,10x genomics,Visium,Spatial transcriptomics combined with single-nucleus RNA sequencing reveals glial cell heterogeneity in the human spinal cord,Neural Regeneration Research,"Yali Chen  , Yiyong Wei  , Jin Liu  , Tao Zhu , Cheng Zhou , Donghang Zhang","Chen, Y., Wei, Y., Liu, J., Zhu, T., Zhou, C., & Zhang, D. (2025). Spatial transcriptomics combined with single-nucleus RNA sequencing reveals glial cell heterogeneity in the human spinal cord. Neural Regeneration Research, 20(11), 3302-3316.","JOURNAL/nrgr/04.03/01300535-202511000-00032/figure1/v/2024-12-20T164640Z/r/image-tiff Glial cells play crucial roles in regulating physiological and pathological functions, including sensation, the response to infection and acute injury, and chronic neurodegenerative disorders. Glial cells include astrocytes, microglia, and oligodendrocytes in the central nervous system, and satellite glial cells and Schwann cells in the peripheral nervous system. Despite the greater understanding of glial cell types and functional heterogeneity achieved through single-cell and single-nucleus RNA sequencing in animal models, few studies have investigated the transcriptomic profiles of glial cells in the human spinal cord. Here, we used high-throughput single-nucleus RNA sequencing and spatial transcriptomics to map the cellular and molecular heterogeneity of astrocytes, microglia, and oligodendrocytes in the human spinal cord. To explore the conservation and divergence across species, we compared these findings with those from mice. In the human spinal cord, astrocytes, microglia, and oligodendrocytes were each divided into six distinct transcriptomic subclusters. In the mouse spinal cord, astrocytes, microglia, and oligodendrocytes were divided into five, four, and five distinct transcriptomic subclusters, respectively. The comparative results revealed substantial heterogeneity in all glial cell types between humans and mice. Additionally, we detected sex differences in gene expression in human spinal cord glial cells. Specifically, in all astrocyte subtypes, the levels of NEAT1 and CHI3L1 were higher in males than in females, whereas the levels of CST3 were lower in males than in females. In all microglial subtypes, all differentially expressed genes were located on the sex chromosomes. In addition to sex-specific gene differences, the levels of MT-ND4 , MT2A , MT-ATP6 , MT-CO3 , MT-ND2 , MT-ND3 , and MT-CO2 in all spinal cord oligodendrocyte subtypes were higher in females than in males. Collectively, the present dataset extensively characterizes glial cell heterogeneity and offers a valuable resource for exploring the cellular basis of spinal cord-related illnesses, including chronic pain, amyotrophic lateral sclerosis, and multiple sclerosis.",10.4103/NRR.NRR-D-23-01876,1/11/25,Adult and developing spinal cord,no,No,,
ST063,GSE285858,HD,Mouse,16,40482637,10x genomics,Visium,Distinct molecular patterns in R6/2 HD mouse brain: Insights from spatiotemporal transcriptomics,Neuron,"Mara S Burns , Ricardo Miramontes , Jie Wu , Ravinder Gulia , Madhu S Saddala , Alice L Lau , Tiffany Quach , John C Reidling , Vivek Swarup , Albert R La Spada , Ryan G Lim , Leslie M Thompson","Burns, M. S., Miramontes, R., Wu, J., Gulia, R., Saddala, M. S., Lau, A. L., ... & Thompson, L. M. (2025). Distinct molecular patterns in R6/2 HD mouse brain: Insights from spatiotemporal transcriptomics. Neuron.","Huntington's disease (HD) is marked by widespread cellular dysregulation. To understand disease mechanisms, we and others have utilized bulk and single-cell transcriptomics, which provide cell-type information but limited spatial information. We used 10× Genomics Visium spatial transcriptomics integrated with matched single-nuclei RNA sequencing (snRNA-seq) in the rapidly progressing HD R6/2 mouse brain (post-natal day 0 [P0], 4 weeks, and 12 weeks). Our data suggest regional, temporal, and cell-type-specific regulatory pathways that establish distinct gene expression changes. Synaptic dysfunction is observed broadly throughout the brain, whereas we observed early dysregulation of the transcription factor 4 (Tcf4) that may drive cortical changes. Mitochondrial deficits are the earliest changes, beginning at P0 in the striatum. Striatal identity genes show early increased expression that becomes progressively downregulated. Finally, we identified a time-dependent dysregulation of neuropeptide Y signaling and potential interaction with the cyclic adenosine monophosphate/protein kinase A (cAMP/PKA) pathway, which may be involved in the imbalance between Drd1 and Drd2 neuron vulnerability.",10.1016/j.neuron.2025.05.014,2/6/25,"Whole brain (striatum, cortex, etc.)",no,yes,HD006,6
ST064,syn52798627,MS,Human,43 (13 individual),38187779,10x genomics,Visium,Human disease‑specific cell signatures in non‑lesional tissue in Multiple Sclerosis detected by single‑cell and spatial transcriptomics,bioRxiv,"Matti Lam , Dylan Lee , Ivy Kosater , Anthony Khairallah , Mariko Taga , Ya Zhang , Masashi Fujita , Sukriti Nag , David A Bennett , Philip De Jager , Vilas Menon","Lam, M., Lee, D., Kosater, I., Khairallah, A., Taga, M., Zhang, Y., ... & Menon, V. (2023). Human disease-specific cell signatures in non-lesional tissue in Multiple Sclerosis detected by single-cell and spatial transcriptomics. bioRxiv.","Recent investigations of cell type changes in Multiple Sclerosis (MS) using single-cell profiling methods have focused on active lesional and peri-lesional brain tissue, and have implicated a number of peripheral and central nervous system cell types. However, an important question is the extent to which so-called ""normal-appearing"" non-lesional tissue in individuals with MS accumulate changes over the lifespan. Here, we compared post-mortem non-lesional brain tissue from donors with a pathological or clinical diagnosis of MS from the Religious Orders Study or Rush Memory and Aging Project (ROSMAP) cohorts to age- and sex-matched brains from persons without MS (controls). We profiled three brain regions using single-nucleus RNA-seq: dorsolateral prefrontal cortex (DLPFC), normal appearing white matter (NAWM) and the pulvinar in thalamus (PULV), from 15 control individuals, 8 individuals with MS, and 5 individuals with other detrimental pathologies accompanied by demyelination, resulting in a total of 78 samples. We identified region- and cell type-specific differences in non-lesional samples from individuals diagnosed with MS and/or exhibiting secondary demyelination with other neurological conditions, as compared to control donors. These differences included lower proportions of oligodendrocytes with expression of myelination related genes MOBP, MBP, PLP1, as well as higher proportions of CRYAB+ oligodendrocytes in all three brain regions. Among microglial signatures, we identified subgroups that were higher in both demyelination (TMEM163+/ERC2+), as well as those that were specifically higher in MS donors (HIF1A+/SPP1+) and specifically in donors with secondary demyelination (SOCS6+/MYO1E+), in both white and grey matter. To validate our findings, we generated Visium spatial transcriptomics data on matched tissue from 13 donors, and recapitulated our observations of gene expression differences in oligodendrocytes and microglia. Finally, we show that some of the differences observed between control and MS donors in NAWM mirror those previously reported between control WM and active lesions in MS donors. Overall, our investigation sheds additional light on cell type- and disease-specific differences present even in non-lesional white and grey matter tissue, highlighting widespread cellular signatures that may be associated with downstream pathological changes.",10.1101/2023.12.20.572491,20-12-2023,Non-lesional brain tissue,no,No,,
ST066,GSE174647(没打开看),MS,Human,"210 (32 disease, 5 control)",35726057,NA,Squencing based,Identification of early neurodegenerative pathways in progressive multiple sclerosis,Nature neuroscience,"Max Kaufmann , Anna-Lena Schaupp , Rosa Sun   , Fabian Coscia  , Calliope A Dendrou  , Adrian Cortes , Gurman Kaur   , Hayley G Evans , Annelie Mollbrink , José Fernández Navarro , Jana K Sonner , Christina Mayer , Gabriele C DeLuca , Joakim Lundeberg , Paul M Matthews  , Kathrine E Attfield , Manuel A Friese , Matthias Mann  , Lars Fugger","Kaufmann, M., Schaupp, A. L., Sun, R., Coscia, F., Dendrou, C. A., Cortes, A., ... & Fugger, L. (2022). Identification of early neurodegenerative pathways in progressive multiple sclerosis. Nature neuroscience, 25(7), 944-955.","Progressive multiple sclerosis (MS) is characterized by unrelenting neurodegeneration, which causes cumulative disability and is refractory to current treatments. Drug development to prevent disease progression is an urgent clinical need yet is constrained by an incomplete understanding of its complex pathogenesis. Using spatial transcriptomics and proteomics on fresh-frozen human MS brain tissue, we identified multicellular mechanisms of progressive MS pathogenesis and traced their origin in relation to spatially distributed stages of neurodegeneration. By resolving ligand-receptor interactions in local microenvironments, we discovered defunct trophic and anti-inflammatory intercellular communications within areas of early neuronal decline. Proteins associated with neuronal damage in patient samples showed mechanistic concordance with published in vivo knockdown and central nervous system (CNS) disease models, supporting their causal role and value as potential therapeutic targets in progressive MS. Our findings provide a new framework for drug development strategies, rooted in an understanding of the complex cellular and signaling dynamics in human diseased tissue that facilitate this debilitating disease.",10.1038/s41593-022-01097-3,1/7/22,Multiple brain regions (lesions),no,No,,
ST067,GSE236963,MS,Human,"11 (6 disease, 5 control)",39475792,10x genomics,Visium,Spatial Transcriptomics of Meningeal Inflammation Reveals Variable Penetrance of Inflammatory Gene Signatures into Adjacent Brain Parenchyma,bioRxiv,"Sachin P Gadani , Saumitra Singh , Sophia Kim , Jingwen Hu , Matthew D Smith , Peter A Calabresi  , Pavan Bhargava","Gadani, S. P., Singh, S., Kim, S., Hu, J., Smith, M. D., Calabresi, P. A., & Bhargava, P. (2023). Spatial Transcriptomics of Meningeal Inflammation Reveals Variable Penetrance of Inflammatory Gene Signatures into Adjacent Brain Parenchyma. bioRxiv, 2023-06.","While modern high efficacy disease modifying therapies have revolutionized the treatment of relapsing-remitting multiple sclerosis, they are less effective at controlling progressive forms of the disease. Meningeal inflammation is a recognized risk factor for cortical gray matter pathology which can result in disabling symptoms such as cognitive impairment and depression, but the mechanisms linking meningeal inflammation and gray matter pathology remain unclear. Here, we performed magnetic resonance imaging (MRI)-guided spatial transcriptomics in a mouse model of autoimmune meningeal inflammation to characterize the transcriptional signature in areas of meningeal inflammation and the underlying brain parenchyma. We found broadly increased activity of inflammatory signaling pathways at sites of meningeal inflammation, but only a subset of these pathways active in the adjacent brain parenchyma. Subclustering of regions adjacent to meningeal inflammation revealed the subset of immune programs induced in brain parenchyma, notably complement signaling and antigen processing/presentation. Trajectory gene and gene set modeling analysis confirmed variable penetration of immune signatures originating from meningeal inflammation into the adjacent brain tissue. This work contributes a valuable data resource to the field, provides the first detailed spatial transcriptomic characterization in a model of meningeal inflammation, and highlights several candidate pathways in the pathogenesis of gray matter pathology.",10.7554/eLife.88414,30-10-2024,Meninges + adjacent parenchyma,no,No,,
ST068,https://zenodo.org/records/15151517?utm_source=chatgpt.com,MS,Mouse / Human,6,40060412,10x genomics,Visium,Scaling up spatial transcriptomics for large-sized tissues: uncovering cellular-level tissue architecture beyond conventional platforms with iSCALE,bioRxiv,"Amelia Schroeder , Melanie Loth , Chunyu Luo , Sicong Yao , Hanying Yan , Daiwei Zhang  , Sarbottam Piya , Edward Plowey , Wenxing Hu , Jean R Clemenceau , Inyeop Jang , Minji Kim , Isabel Barnfather , Su Jing Chan , Taylor L Reynolds , Thomas Carlile , Patrick Cullen , Ji-Youn Sung , Hui-Hsin Tsai , Jeong Hwan Park , Tae Hyun Hwang , Baohong Zhang , Mingyao Li","Schroeder, A., Loth, M., Luo, C., Yao, S., Yan, H., Zhang, D., ... & Li, M. (2025). Scaling up spatial transcriptomics for large-sized tissues: uncovering cellular-level tissue architecture beyond conventional platforms with iSCALE. bioRxiv.","Recent advances in spatial transcriptomics (ST) technologies have transformed our ability to profile gene expression while retaining the crucial spatial context within tissues. However, existing ST platforms suffer from high costs, long turnaround times, low resolution, limited gene coverage, and small tissue capture areas, which hinder their broad applications. Here we present iSCALE, a method that predicts super-resolution gene expression and automatically annotates cellular-level tissue architecture for large-sized tissues that exceed the capture areas of standard ST platforms. The accuracy of iSCALE were validated by comprehensive evaluations, involving benchmarking experiments, immunohistochemistry staining, and manual annotation by pathologists. When applied to multiple sclerosis human brain samples, iSCALE uncovered lesion associated cellular characteristics that were undetectable by conventional ST experiments. Our results demonstrate iSCALE's utility in analyzing large-sized tissues with automatic and unbiased tissue annotation, inferring cell type composition, and pinpointing regions of interest for features not discernible through human visual assessment.",10.1101/2025.02.25.640190,1/3/25,Large brain slices (coronal brain sections),no,No,,
ST069,https://zenodo.org/records/12810114,AD,,8,40309339,10x genomics,Visium,Neurogenesis drives hippocampal formation-wide spatial transcription alterations in health and Alzheimer's disease,,,,,,,,,No,,
ST070,https://zenodo.org/records/10520022,AD,,4,40074951,10x genomics; Nanostring,Visium; Cosmx,Spotiphy enables single-cell spatial whole transcriptomics across an entire section,,,,,,,,,Yes,AD111,
ST072,https://doi.org/10.5281/zenodo.7332091,AD,,8,36732642,NA,STARmap PLUS,Integrative in situ mapping of single-cell transcriptional states and tissue histopathology in an Alzheimer disease model,,,,,,,,,No,,
ST073,GSE174265,AD,,16,36170369,,,Neurons burdened by DNA double-strand breaks incite microglia activation through antiviral-like signaling in neurodegeneration,,,,,,,,,Yes,AD061,3
ST074,https://doi.org/10.5281/zenodo.8037425.,MS,,,38513664,,,,,,,,,,,,No,,
ST075,https://zenodo.org/records/14762864,PD,,,40293707,,,L-DOPA Induces Spatially Discrete Changes in Gene Expression in the Forebrain of Mice with a Progressive Loss of Dopaminergic Neurons,,,,,,,,,No,,
ST076,GSE208747,MS,,,39501035,,,,,,,,,,,,No,,
ST077,GSE281807,MS,,,40301560,,,,,,,,,,,,No,,
ST038,GSE274267 (Not AD data),AD,Human,121,39543407,Nanostring,GeoMx,Brain-wide alterations revealed by spatial transcriptomics and proteomics in COVID-19 infection,Nature Aging,Ting Zhang et al.,"Zhang T et al., Nat Aging 2024","Visium ST of multiple brain regions from COVID-19 patients and controls uncovered widespread region-specific cellular responses. Combined spatial transcriptomics and MALDI proteomics revealed inflammation and neuronal loss across brain, identifying COVID-associated brain pathologies.",10.1038/s43587-024-00730-z,14-Nov-24,Multiple brain regions,no treatment,No,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
