Dataset_id,Public_dataset_id,Pubmed_id,Disease,Status,Control,Species,Brain_region,Sex,Stage,Age,N_cells,Protocol,Methodology,Model
PD001009,GSM6106348,39475571,PD,Disease,PD001001; PD001002; PD001003; PD001004; PD001011; PD001012,Human,prefrontal cortex,no data available,late-stage,no data avaliable,7151,10x Genomics,Single-nucleus RNA sequencing,
PD001010,GSM6106349,39475571,PD,Disease,PD001001; PD001002; PD001003; PD001004; PD001011; PD001012,Human,prefrontal cortex,no data available,late-stage,no data avaliable,5477,10x Genomics,Single-nucleus RNA sequencing,
PD001011,GSM6106350,39475571,PD,Healthy,Yes,Human,prefrontal cortex,no data available,no data avaliable,no data avaliable,6023,10x Genomics,Single-nucleus RNA sequencing,
PD001012,GSM6106351,39475571,PD,Healthy,Yes,Human,prefrontal cortex,no data available,no data avaliable,no data avaliable,5619,10x Genomics,Single-nucleus RNA sequencing,
PD003001,GSM6211038,36142685,PD,Healthy,,Mouse,"cerebral cortex, hippocampus, striatum and cerebellum",Male,no data avaliable,8 weeks old,83133,10x Genomics,Single-nucleus RNA sequencing,C57BL/6J
PD003002,GSM6211039,36142685,PD,Disease,PD003001,Mouse,"cerebral cortex, hippocampus, striatum and cerebellum",Male,no data avaliable,8 weeks old,74385,10x Genomics,Single-nucleus RNA sequencing,MPTP-PD
PD007001,GSM3891466,32415072,PD,no data availability,,Human,Grafted human ventral midbrain and grafted VM-patterned hESCs cells were dissected from rat striatum,Female,no data avaliable,no data avaliable,,10x Genomics,Single-cell RNA sequencing,iPSC
PD007002,GSM3891467,32415072,PD,no data availability,,Human,Grafted human ventral midbrain and grafted VM-patterned hESCs cells were dissected from rat striatum,Female,no data avaliable,no data avaliable,,10x Genomics,Single-cell RNA sequencing,iPSC
PD007003,GSM3891468,32415072,PD,no data availability,,Human,Grafted human ventral midbrain and grafted VM-patterned hESCs cells were dissected from rat striatum,Female,no data avaliable,no data avaliable,,10x Genomics,Single-cell RNA sequencing,iPSC
PD007004,GSM3891469,32415072,PD,no data availability,,Human,Grafted human ventral midbrain and grafted VM-patterned hESCs cells were dissected from rat striatum,Female,no data avaliable,no data avaliable,,10x Genomics,Single-cell RNA sequencing,iPSC
PD007005,GSM3891470,32415072,PD,no data availability,,Human,Grafted human ventral midbrain and grafted VM-patterned hESCs cells were dissected from rat striatum,Female,no data avaliable,no data avaliable,,10x Genomics,Single-cell RNA sequencing,iPSC
PD007006,GSM3891471,32415072,PD,no data availability,,Human,Grafted human ventral midbrain and grafted VM-patterned hESCs cells were dissected from rat striatum,Female,no data avaliable,no data avaliable,,10x Genomics,Single-cell RNA sequencing,iPSC
PD007007,GSM3891472,32415072,PD,no data availability,,Human,Grafted human ventral midbrain and grafted VM-patterned hESCs cells were dissected from rat striatum,Female,no data avaliable,no data avaliable,,10x Genomics,Single-cell RNA sequencing,iPSC
PD007008,GSM3891473,32415072,PD,no data availability,,Human,Grafted human ventral midbrain and grafted VM-patterned hESCs cells were dissected from rat striatum,Female,no data avaliable,no data avaliable,,10x Genomics,Single-cell RNA sequencing,iPSC
PD007009,RC17_after,32415072,PD,Disease,PD007011; PD007012,Human,Human graft in rat brain,Female,no data avaliable,no data avaliable,,10x Genomics,Single-cell RNA sequencing,iPSC; iPS: RC17
PD007010,fetal_after,32415072,PD,Disease,PD007011; PD007012,Human,Human graft in rat brain,Female,no data avaliable,no data avaliable,,10x Genomics,Single-cell RNA sequencing,iPSC; NPCs
PD007011,RC17_before,32415072,PD,Healthy,,Human,Human graft in rat brain,Female,no data avaliable,no data avaliable,,10x Genomics,Single-cell RNA sequencing,iPSC;  iPS: RC17
PD007012,fetal_before,32415072,PD,Healthy,,Human,Human graft in rat brain,Female,no data avaliable,no data avaliable,,10x Genomics,Single-cell RNA sequencing,iPSC; NPCs
PD009001,GSM5928090,38041169,PD,Disease,,Mouse,Substantia nigra,no data available,no data avaliable,10 month,8464,10x Genomics,Single-cell RNA sequencing,hA53T transgenic mice
PD009002,GSM5928091,38041169,PD,Disease,,Mouse,Substantia nigra,no data available,no data avaliable,10 month,3554,10x Genomics,Single-cell RNA sequencing,hA53T transgenic mice plus Mlkl-/-
PD011001,GSM8219516,39218899,PD,Healthy,,Mouse,midbrain,Male,no data avaliable,no data avaliable,15486,10x Genomics,Single-cell RNA sequencing,Line 61 mice
PD011002,GSM8219517,39218899,PD,Healthy,,Mouse,midbrain,Male,no data avaliable,no data avaliable,15663,10x Genomics,Single-cell RNA sequencing,Line 61 mice
PD011003,GSM8219518,39218899,PD,Disease,PD011001; PD011002,Mouse,midbrain,Male,no data avaliable,no data avaliable,34818,10x Genomics,Single-cell RNA sequencing,Line 61 mice
PD011004,GSM8219520,39218899,PD,Disease,PD011001; PD011002,Mouse,midbrain,Male,no data avaliable,no data avaliable,13793,10x Genomics,Single-cell RNA sequencing,Line 61 mice
PD014001,GSM5386624,35513515,PD,no data availability,no data available,Tupaia belangeri,Substantia nigra pars compacta,Male,no data available,3 years,941,10x Genomics,Single-nucleus RNA sequencing,
PD014002,GSM5386625,35513515,PD,no data availability,no data available,Rattus norvegicus,Substantia nigra pars compacta,Male,no data available,0.2 years,875,10x Genomics,Single-nucleus RNA sequencing,
PD014003,GSM5386626,35513515,PD,no data availability,no data available,Macaca mulatta,Substantia nigra pars compacta,Male,no data available,3 years,1,10x Genomics,Single-nucleus RNA sequencing,
PD014004,GSM5386627,35513515,PD,no data availability,no data available,Macaca mulatta,Substantia nigra pars compacta,Male,no data available,3 years,21,10x Genomics,Single-nucleus RNA sequencing,
PD014005,GSM5386628,35513515,PD,non-ND control,Yes,Human,Caudate nucleus,Male,no data available,47 years,10966,10x Genomics,Single-nucleus RNA sequencing,
PD014006,GSM5386629,35513515,PD,non-ND control,Yes,Human,Caudate nucleus,Male,no data available,47 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014007,GSM5386630,35513515,PD,non-ND control,Yes,Human,Substantia nigra pars compacta,Female,no data available,79 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014008,GSM5386631,35513515,PD,non-ND control,Yes,Human,Substantia nigra pars compacta,Female,no data available,91 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014009,GSM5386632,35513515,PD,non-ND control,Yes,Human,Substantia nigra pars compacta,Female,no data available,79 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014010,GSM5386633,35513515,PD,non-ND control,Yes,Human,Substantia nigra pars compacta,Female,no data available,91 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014011,GSM5386634,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Female,no data available,76 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014012,GSM5386635,35513515,PD,non-ND control,Yes,Human,Substantia nigra pars compacta,Female,no data available,49 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014013,GSM5386636,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Female,no data available,76 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014014,GSM5386637,35513515,PD,non-ND control,Yes,Human,Substantia nigra pars compacta,Female,no data available,90 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014015,GSM5386638,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Female,no data available,76 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014016,GSM5386639,35513515,PD,non-ND control,Yes,Human,Substantia nigra pars compacta,Female,no data available,90 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014017,GSM5386640,35513515,PD,non-ND control,Yes,Human,Substantia nigra pars compacta,Female,no data available,91 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014018,GSM5386641,35513515,PD,non-ND control,Yes,Human,Caudate nucleus,Male,no data available,59 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014019,GSM5386642,35513515,PD,non-ND control,Yes,Human,Substantia nigra pars compacta,Female,no data available,82 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014020,GSM5386643,35513515,PD,non-ND control,Yes,Human,Substantia nigra pars compacta,Female,no data available,79 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014021,GSM5386644,35513515,PD,non-ND control,Yes,Human,Substantia nigra pars compacta,Female,no data available,92 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014022,GSM5386645,35513515,PD,non-ND control,Yes,Human,Substantia nigra pars compacta,Female,no data available, 79 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014023,GSM5386650,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Male,no data available,75 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014024,GSM5386652,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Male,no data available,82 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014025,GSM5386653,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Female,no data available,76 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014026,GSM5386654,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Female,no data available,83 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014027,GSM5386657,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Female,no data available,76 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014028,GSM5386660,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human, Substantia nigra pars compacta,Male,no data available,82 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014029,GSM5386661,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Female,no data available,76 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014030,GSM5386662,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Female,no data available,76 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014031,GSM5386663,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Female,no data available,83 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014032,GSM5386664,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Male,no data available,82 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014033,GSM5386665,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Female,no data available,83 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014034,GSM5386666,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Male,no data available,75 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014035,GSM5386667,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Female,no data available,76 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014036,GSM5386668,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Male,no data available,75 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014037,GSM5386670,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Male,no data available,75 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014038,GSM5386671,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Female,no data available,83 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014039,GSM5386673,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Female,no data available,83 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014040,GSM5386674,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Male,no data available,75 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014041,GSM5386677,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Male,no data available,78 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014042,GSM5386680,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Male,no data available,90 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014043,GSM5386681,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Female,no data available,83 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014044,GSM5386683,35513515,PD,non-ND control,Yes,Human,Substantia nigra pars compacta,Male,no data available,25 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014045,GSM5386684,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human, Substantia nigra pars compacta,Male,no data available,78 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014046,GSM5386685,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Female,no data available,83 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014047,GSM5386686,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Male,no data available,82 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014048,GSM5386688,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Male,no data available,82 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014049,GSM5386689,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Male,no data available,78 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014050,GSM5386690,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Male,no data available,78 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014051,GSM5386692,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Male,no data available,82 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014052,GSM5386694,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Male,no data available,82 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014053,GSM5386697,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Male,no data available,90 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014054,GSM5386712,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Male,no data available,90 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014055,GSM5386714,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Male,no data available,82 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014056,GSM5386716,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Male,no data available,82 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014057,GSM5386718,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Male,no data available,82 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014058,GSM5386720,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Male,no data available,82 years,,10x Genomics,Single-nucleus RNA sequencing,
PD014059,GSM5386723,35513515,PD,Disease,PD014007; PD014008; PD014009; PD014010; PD014012; PD014016; PD014017; PD014019; PD014020; PD014021; PD014022; PD014044,Human,Substantia nigra pars compacta,Male,no data available,82 years,,10x Genomics,Single-nucleus RNA sequencing,
PD018001,GSM7384413,37981650,PD,Healthy,,Mouse,Spleen,Male,no data available,10-12 wk,3645,10x Genomics,Single-cell RNA sequencing,C57Bl/6J or SNCAKO (JAX stock#016123)
PD018002,GSM7384414,37981650,PD,Disease,PD018001,Mouse,Spleen,Male,no data available,10-12 wk,5103,10x Genomics,Single-cell RNA sequencing,C57Bl/6J or SNCAKO (JAX stock#016123)
PD018003,GSM7384415,37981650,PD,Healthy,,Mouse,Ileum,Male,no data available,10-12 wk,5124,10x Genomics,Single-cell RNA sequencing,C57Bl/6J or SNCAKO (JAX stock#016123)
PD018004,GSM7384416,37981650,PD,Disease,PD018003,Mouse,Ileum,Male,no data available,10-12 wk,3880,10x Genomics,Single-cell RNA sequencing,C57Bl/6J or SNCAKO (JAX stock#016123)
PD018005,GSM7384417,37981650,PD,Healthy,,Mouse,Whole Brain,Male,no data available,10-12 wk,3867,10x Genomics,Single-cell RNA sequencing,C57Bl/6J or SNCAKO (JAX stock#016123)
PD018006,GSM7384418,37981650,PD,Disease,PD018005,Mouse,Whole Brain,Male,no data available,10-12 wk,3149,10x Genomics,Single-cell RNA sequencing,C57Bl/6J or SNCAKO (JAX stock#016123)
PD019001,GSM7897844,38132179,PD,no data availability,,Human,dopaminergic neurons,no data available,no data avaliable,21 days,,Smart-seq,Single-nucleus RNA sequencing,iPSC; KOLF2-C1 human iPSC line; genetic modification: LMX1A Cre AAVS1 BFP
PD019002,GSM7897845,38132179,PD,no data availability,,Human,dopaminergic neurons,no data available,no data avaliable,21 days,,Smart-seq,Single-nucleus RNA sequencing,iPSC; KOLF2-C1 human iPSC line; genetic modification: LMX1A Cre AAVS1 BFP
PD019003,GSM7897846,38132179,PD,no data availability,,Human,dopaminergic neurons,no data available,no data avaliable,30 days,,Smart-seq,Single-nucleus RNA sequencing,iPSC; KOLF2-C1 human iPSC line; genetic modification: LMX1A Cre AAVS1 BFP
PD019004,GSM7897847,38132179,PD,no data availability,,Human,dopaminergic neurons,no data available,no data avaliable,30 days,,Smart-seq,Single-nucleus RNA sequencing,iPSC; KOLF2-C1 human iPSC line; genetic modification: LMX1A Cre AAVS1 BFP
PD019005,GSM7897848,38132179,PD,no data availability,,Human,dopaminergic neurons,no data available,no data avaliable,45 days,,Smart-seq,Single-nucleus RNA sequencing,iPSC; KOLF2-C1 human iPSC line; genetic modification: LMX1A Cre AAVS1 BFP
PD019006,GSM7897849,38132179,PD,no data availability,,Human,dopaminergic neurons,no data available,no data avaliable,45 days,,Smart-seq,Single-nucleus RNA sequencing,iPSC; KOLF2-C1 human iPSC line; genetic modification: LMX1A Cre AAVS1 BFP
PD019007,GSM7897850,38132179,PD,no data availability,,Human,dopaminergic neurons,no data available,no data avaliable,65 days,,Smart-seq,Single-nucleus RNA sequencing,iPSC; KOLF2-C1 human iPSC line; genetic modification: LMX1A Cre AAVS1 BFP
PD019008,GSM7897851,38132179,PD,no data availability,,Human,dopaminergic neurons,no data available,no data avaliable,65 days,,Smart-seq,Single-nucleus RNA sequencing,iPSC; KOLF2-C1 human iPSC line; genetic modification: LMX1A Cre AAVS1 BFP
PD019009,GSM7937469,38132179,PD,no data availability,,Human,dopaminergic neurons,no data available,no data avaliable,45 days,,Smart-seq,Single-nucleus RNA sequencing,iPSC; KOLF2-C1 human iPSC line
PD019010,GSM7937470,38132179,PD,no data availability,,Human,dopaminergic neurons,no data available,no data avaliable,45 days,,Smart-seq,Single-nucleus RNA sequencing,iPSC; KOLF2-C1 human iPSC line
PD019011,GSM7937471,38132179,PD,no data availability,,Human,dopaminergic neurons,no data available,no data avaliable,45 days,,Smart-seq,Single-nucleus RNA sequencing,iPSC; KOLF2-C1 human iPSC line
PD019012,GSM7937472,38132179,PD,no data availability,,Human,dopaminergic neurons,no data available,no data avaliable,45 days,,Smart-seq,Single-nucleus RNA sequencing,iPSC; KOLF2-C1 human iPSC line
PD019013,GSM7937473,38132179,PD,no data availability,,Human,dopaminergic neurons,no data available,no data avaliable,45 days,,Smart-seq,Single-nucleus RNA sequencing,iPSC; KOLF2-C1 human iPSC line
PD019014,GSM7937474,38132179,PD,no data availability,,Human,dopaminergic neurons,no data available,no data avaliable,45 days,,Smart-seq,Single-nucleus RNA sequencing,iPSC; KOLF2-C1 human iPSC line
PD020001,GSM7438337,38587883,PD,Disease,PD020002,Mouse,midbrain,Female,no data avaliable,6mo,7462,10x Genomics,Single-nucleus RNA sequencing,C57BL6; DatCre TrapC fl/fl
PD020002,GSM7438338,38587883,PD,Healthy,,Mouse,midbrain,Female,no data avaliable,6mo,7979,10x Genomics,Single-nucleus RNA sequencing,C57BL6; DatCre TrapC fl/fl
PD020003,GSM7438339,38587883,PD,Disease,PD020004,Mouse,midbrain,Female,no data avaliable,6mo,5963,10x Genomics,Single-nucleus RNA sequencing,C57BL6; DatCre TrapC fl/fl
PD020004,GSM7438340,38587883,PD,Healthy,,Mouse,midbrain,Female,no data avaliable,6mo,7704,10x Genomics,Single-nucleus RNA sequencing,C57BL6; DatCre TrapC fl/fl
PD020005,GSM7438341,38587883,PD,Disease,PD020006,Mouse,midbrain,Female,no data avaliable,6mo,6260,10x Genomics,Single-nucleus RNA sequencing,C57BL6; DatCre TrapC fl/fl
PD020006,GSM7438342,38587883,PD,Healthy,,Mouse,midbrain,Female,no data avaliable,6mo,6783,10x Genomics,Single-nucleus RNA sequencing,C57BL6; DatCre TrapC fl/fl
PD020007,GSM7438343,38587883,PD,Disease,PD020008,Mouse,midbrain,Female,no data avaliable,6mo,5548,10x Genomics,Single-nucleus RNA sequencing,C57BL6; DatCre TrapC fl/fl
PD020008,GSM7438344,38587883,PD,Healthy,,Mouse,midbrain,Female,no data avaliable,6mo,5492,10x Genomics,Single-nucleus RNA sequencing,C57BL6; DatCre TrapC fl/fl
PD020009,GSM7438345,38587883,PD,Disease,PD020010,Mouse,midbrain,Female,no data avaliable,6mo,2657,10x Genomics,Single-nucleus RNA sequencing,C57BL6; DatCre TrapC fl/fl
PD020010,GSM7438346,38587883,PD,Healthy,,Mouse,midbrain,Female,no data avaliable,6mo,5287,10x Genomics,Single-nucleus RNA sequencing,C57BL6; DatCre TrapC fl/fl
PD020011,GSM7438347,38587883,PD,Disease,PD020012,Mouse,midbrain,Female,no data avaliable,6mo,5766,10x Genomics,Single-nucleus RNA sequencing,C57BL6; DatCre TrapC fl/fl
PD020012,GSM7438348,38587883,PD,Healthy,,Mouse,midbrain,Female,no data avaliable,6mo,3528,10x Genomics,Single-nucleus RNA sequencing,C57BL6; DatCre TrapC fl/fl
PD020013,GSM7438331,38587883,PD,Disease,,Mouse,midbrain,Female,no data avaliable,3mo,1527,10x Genomics,Single-nucleus RNA sequencing,C57BL6; DatCre TrapC fl/fl
PD020014,GSM7438332,38587883,PD,Disease,,Mouse,midbrain,Female,no data avaliable,3mo,942,10x Genomics,Single-nucleus RNA sequencing,C57BL6; DatCre TrapC fl/fl
PD020015,GSM7438333,38587883,PD,Disease,,Mouse,midbrain,Female,no data avaliable,3mo,1509,10x Genomics,Single-nucleus RNA sequencing,C57BL6; DatCre TrapC fl/fl
PD020016,GSM7438334,38587883,PD,Disease,,Mouse,midbrain,Female,no data avaliable,18 mo,1276,10x Genomics,Single-nucleus RNA sequencing,C57BL6; DatCre TrapC fl/fl
PD020017,GSM7438335,38587883,PD,Disease,,Mouse,midbrain,Female,no data avaliable,18mo,1529,10x Genomics,Single-nucleus RNA sequencing,C57BL6; DatCre TrapC fl/fl
PD020018,GSM7438336,38587883,PD,Disease,,Mouse,midbrain,Female,no data avaliable,18mo,1522,10x Genomics,Single-nucleus RNA sequencing,C57BL6; DatCre TrapC fl/fl
PD023001,GSM8385018,40353820,PD,Healthy,Yes,Mouse,Midbrain,Mixed,no data avaliable,6 month,9928,10x Genomics,Single-nucleus RNA sequencing,Lrrk2 WT
PD023002,GSM8385019,40353820,PD,Healthy,Yes,Mouse,Midbrain,Mixed,no data avaliable,7 month,3020,10x Genomics,Single-nucleus RNA sequencing,Lrrk2 WT
PD023003,GSM8385020,40353820,PD,Disease,PD023001; PD023002,Mouse,Midbrain,Mixed,no data avaliable,8 month,8112,10x Genomics,Single-nucleus RNA sequencing,LRRK2 G2019S
PD023004,GSM8385021,40353820,PD,Disease,PD023001; PD023002,Mouse,Midbrain,Mixed,no data avaliable,9 month,9112,10x Genomics,Single-nucleus RNA sequencing,LRRK2 G2019S
PD025001,GSM7140319,40178224,PD,Healthy,,Drosophila melanogaster,Whole Brain,Mixed,no data avaliable,5 day,19058,10x Genomics,Single-nucleus RNA sequencing,W1118CS
PD025002,GSM7140320,40178224,PD,Healthy,,Drosophila melanogaster,Whole Brain,Mixed,no data avaliable,5 day,6799,10x Genomics,Single-nucleus RNA sequencing,W1118CS
PD025003,GSM7140321,40178224,PD,Healthy,,Drosophila melanogaster,Whole Brain,Mixed,no data avaliable,5 day,4635,10x Genomics,Single-nucleus RNA sequencing,W1118CS
PD025004,GSM7140322,40178224,PD,Healthy,,Drosophila melanogaster,Whole Brain,Mixed,no data avaliable,5 day,5190,10x Genomics,Single-nucleus RNA sequencing,W1118CS
PD025005,GSM7140323,40178224,PD,Healthy,,Drosophila melanogaster,Whole Brain,Mixed,no data avaliable,5 day,5833,10x Genomics,Single-nucleus RNA sequencing,W1118CS
