Paper_id,public_data_id,Disease,species,n_samples,pmid,library_prep_protocol,methodology,title,journal,author,citation,abstract,doi,Publish date,Brain Region,drug?,single cell?,scRNA index,figure_type
ST069,https://zenodo.org/records/12810114,AD,Mouse,8,40309339,10x genomics,Visium,Neurogenesis drives hippocampal formation-wide spatial transcription alterations in health and Alzheimer's disease,Front Dement,"Zachery D Morrissey   , Pavan Kumar , Trongha X Phan , Mark Maienschein-Cline , Alex Leow  , Orly Lazarov","Morrissey, Z. D., Kumar, P., Phan, T. X., Maienschein-Cline, M., Leow, A., & Lazarov, O. (2025). Neurogenesis drives hippocampal formation-wide spatial transcription alterations in health and Alzheimer's disease. Frontiers in Dementia, 4, 1546433.","The mechanism by which neurogenesis regulates the profile of neurons and glia in the hippocampal formation is not known. Further, the effect of neurogenesis on neuronal vulnerability characterizing the entorhinal cortex in Alzheimer's disease (AD) is unknown. Here, we used in situ sequencing to investigate the spatial transcription profile of neurons and glia in the hippocampal circuitry in wild-type mice and in familial AD (FAD) mice expressing varying levels of neurogenesis. This approach revealed that in addition to the dentate gyrus, neurogenesis modulates the cellular profile in the entorhinal cortex and CA regions of the hippocampus. Notably, enhancing neurogenesis in FAD mice led to partial restoration of neuronal and cellular profile in these brain areas, resembling the profile of their wild-type counterparts. This approach provides a platform for the examination of the cellular dynamics in the hippocampal formation in health and in AD.",10.3389/frdem.2025.1546433,1/4/25,hippocampus,no,No,,DAPI
ST070,https://zenodo.org/records/10520022,AD,Mouse,4,40074951,10x genomics; Nanostring,Visium; Cosmx,Spotiphy enables single-cell spatial whole transcriptomics across an entire section,Nat Methods,"Jiyuan Yang , Ziqian Zheng , Yun Jiao , Kaiwen Yu , Sheetal Bhatara , Xu Yang , Sivaraman Natarajan , Jiahui Zhang , Qingfei Pan , John Easton , Koon-Kiu Yan , Junmin Peng , Kaibo Liu , Jiyang Yu","Yang, J., Zheng, Z., Jiao, Y., Yu, K., Bhatara, S., Yang, X., ... & Yu, J. (2025). Spotiphy enables single-cell spatial whole transcriptomics across an entire section. Nature Methods, 1-13.","Spatial transcriptomics (ST) has advanced our understanding of tissue regionalization by enabling the visualization of gene expression within whole-tissue sections, but current approaches remain plagued by the challenge of achieving single-cell resolution without sacrificing whole-genome coverage. Here we present Spotiphy (spot imager with pseudo-single-cell-resolution histology), a computational toolkit that transforms sequencing-based ST data into single-cell-resolved whole-transcriptome images. Spotiphy delivers the most precise cellular proportions in extensive benchmarking evaluations. Spotiphy-derived inferred single-cell profiles reveal astrocyte and disease-associated microglia regional specifications in Alzheimer's disease and healthy mouse brains. Spotiphy identifies multiple spatial domains and alterations in tumor-tumor microenvironment interactions in human breast ST data. Spotiphy bridges the information gap and enables visualization of cell localization and transcriptomic profiles throughout entire sections, offering highly informative outputs and an innovative spatial analysis pipeline for exploring complex biological systems.",10.1038/s41592-025-02622-5,5/12/25,brain,no,Yes,AD111,H&E
ST072,https://doi.org/10.5281/zenodo.7332091,AD,Mouse,8,36732642,NA,STARmap PLUS,Integrative in situ mapping of single-cell transcriptional states and tissue histopathology in an Alzheimer disease model,Nature Neuroscience,"Hu Zeng   , Jiahao Huang   , Haowen Zhou  , William J Meilandt , Borislav Dejanovic  , Yiming Zhou  , Christopher J Bohlen , Seung-Hye Lee , Jingyi Ren  , Albert Liu , Zefang Tang  , Hao Sheng , Jia Liu , Morgan Sheng   , Xiao Wang   ","Zeng, H., Huang, J., Zhou, H., Meilandt, W. J., Dejanovic, B., Zhou, Y., ... & Wang, X. (2023). Integrative in situ mapping of single-cell transcriptional states and tissue histopathology in a mouse model of Alzheimer’s disease. Nature neuroscience, 26(3), 430-446.","Complex diseases are characterized by spatiotemporal cellular and molecular changes that may be difficult to comprehensively capture. However, understanding the spatiotemporal dynamics underlying pathology can shed light on disease mechanisms and progression. Here we introduce STARmap PLUS, a method that combines high-resolution spatial transcriptomics with protein detection in the same tissue section. As proof of principle, we analyze brain tissues of a mouse model of Alzheimer's disease at 8 and 13 months of age. Our approach provides a comprehensive cellular map of disease progression. It reveals a core-shell structure where disease-associated microglia (DAM) closely contact amyloid-β plaques, whereas disease-associated astrocyte-like (DAA-like) cells and oligodendrocyte precursor cells (OPCs) are enriched in the outer shells surrounding the plaque-DAM complex. Hyperphosphorylated tau emerges mainly in excitatory neurons in the CA1 region and correlates with the local enrichment of oligodendrocyte subtypes. The STARmap PLUS method bridges single-cell gene expression profiles with tissue histopathology at subcellular resolution, providing a tool to pinpoint the molecular and cellular changes underlying pathology.",10.1038/s41593-022-01251-x,2/2/23,Cortex and hippocampus,no,No,,NA
ST073,GSE174265,AD,Mouse,16,36170369,10x genomics,Visium,Neurons burdened by DNA double-strand breaks incite microglia activation through antiviral-like signaling in neurodegeneration,Science Adcances,"Gwyneth M Welch  , Carles A Boix , Eloi Schmauch   , Jose Davila-Velderrain , Matheus B Victor  , Vishnu Dileep  , P Lorenzo Bozzelli  , Qiao Su , Jemmie D Cheng  , Audrey Lee  , Noelle S Leary  , Andreas R Pfenning , Manolis Kellis  , Li-Huei Tsai","Welch, G. M., Boix, C. A., Schmauch, E., Davila-Velderrain, J., Victor, M. B., Dileep, V., ... & Tsai, L. H. (2022). Neurons burdened by DNA double-strand breaks incite microglia activation through antiviral-like signaling in neurodegeneration. Science Advances, 8(39), eabo4662.","DNA double-strand breaks (DSBs) are linked to neurodegeneration and senescence. However, it is not clear how DSB-bearing neurons influence neuroinflammation associated with neurodegeneration. Here, we characterize DSB-bearing neurons from the CK-p25 mouse model of neurodegeneration using single-nucleus, bulk, and spatial transcriptomic techniques. DSB-bearing neurons enter a late-stage DNA damage response marked by nuclear factor κB (NFκB)-activated senescent and antiviral immune pathways. In humans, Alzheimer's disease pathology is closely associated with immune activation in excitatory neurons. Spatial transcriptomics reveal that regions of CK-p25 brain tissue dense with DSB-bearing neurons harbor signatures of inflammatory microglia, which is ameliorated by NFκB knockdown in neurons. Inhibition of NFκB in DSB-bearing neurons also reduces microglia activation in organotypic mouse brain slice culture. In conclusion, DSBs activate immune pathways in neurons, which in turn adopt a senescence-associated secretory phenotype to elicit microglia activation. These findings highlight a previously unidentified role for neurons in the mechanism of disease-associated neuroinflammation.",10.1126/sciadv.abo4662,9/28/22,forebrain ,no,Yes,AD061,DAPI
ST074,https://doi.org/10.5281/zenodo.8037425.,MS,Human and Mouse,116,38513664,NA,ISS,Cellular architecture of evolving neuroinflammatory lesions and multiple sclerosis pathology,Cell,"Petra Kukanja , Christoffer M Langseth , Leslie A Rubio Rodríguez-Kirby , Eneritz Agirre , Chao Zheng , Amitha Raman , Chika Yokota , Christophe Avenel , Katarina Tiklová , André O Guerreiro-Cacais , Tomas Olsson , Markus M Hilscher , Mats Nilsson , Gonçalo Castelo-Branco","Kukanja, P., Langseth, C. M., Rodríguez-Kirby, L. A. R., Agirre, E., Zheng, C., Raman, A., ... & Castelo-Branco, G. (2024). Cellular architecture of evolving neuroinflammatory lesions and multiple sclerosis pathology. Cell, 187(8), 1990-2009.","Multiple sclerosis (MS) is a neurological disease characterized by multifocal lesions and smoldering pathology. Although single-cell analyses provided insights into cytopathology, evolving cellular processes underlying MS remain poorly understood. We investigated the cellular dynamics of MS by modeling temporal and regional rates of disease progression in mouse experimental autoimmune encephalomyelitis (EAE). By performing single-cell spatial expression profiling using in situ sequencing (ISS), we annotated disease neighborhoods and found centrifugal evolution of active lesions. We demonstrated that disease-associated (DA)-glia arise independently of lesions and are dynamically induced and resolved over the disease course. Single-cell spatial mapping of human archival MS spinal cords confirmed the differential distribution of homeostatic and DA-glia, enabled deconvolution of active and inactive lesions into sub-compartments, and identified new lesion areas. By establishing a spatial resource of mouse and human MS neuropathology at a single-cell resolution, our study unveils the intricate cellular dynamics underlying MS.",10.1016/j.cell.2024.02.030,3/20/24,spinal cords,no,No,,DAPI
ST076,GSE208747,MS,Human,136,39501035,10x genomics,Visium,Spatially resolved gene signatures of white matter lesion progression in multiple sclerosis,Nature Neuroscience,"Astrid M Alsema   , Marion H C Wijering   , Anneke Miedema   , Janssen M Kotah   , Mirjam Koster  , Merel Rijnsburger   , Hilmar R J van Weering  , Helga E de Vries   , Wia Baron  , Susanne M Kooistra  , Bart J L Eggen","Astrid M Alsema , Marion H C Wijering  , Anneke Miedema , Janssen M Kotah  , Mirjam Koster  , Merel Rijnsburger   , Hilmar R J van Weering  , Helga E de Vries   , Wia Baron  , Susanne M Kooistra  , Bart J L Eggen","Multiple sclerosis (MS) is an inflammatory disease of the central nervous system characterized by myelin loss and progressive neurodegeneration. To understand MS lesion initiation and progression, we generate spatial gene expression maps of white matter (WM) and grey matter (GM) MS lesions. In different MS lesion types, we detect domains characterized by a distinct gene signature, including an identifiable rim around active WM lesions. Expression changes in astrocyte-specific, oligodendrocyte-specific and microglia-specific gene sets characterize the active lesion rims. Furthermore, we identify three WM lesion progression trajectories, predicting how normal-appearing WM can develop into WM active or mixed active-inactive lesions. Our data shed light on the dynamic progression of MS lesions.",10.1038/s41593-024-01765-6,11/5/24,white matter,no,No,,H&E
ST077,GSE281807,MS,Human,592,40301560,Nanostring,GeoMX,Broad rim lesions are a new pathological and imaging biomarker for rapid disease progression in multiple sclerosis,Nature Neuroscience,"Luisa Klotz  , Joost Smolders   , Jussi Lehto   , Markus Matilainen    , Lukas Lütje , Luzia Buchholz , Stefanie Albrecht , Carolin Walter  , Julian Varghese , Heinz Wiendl , Marjo Nylund    , Christian Thomas , Maria Gardberg , Aletta M R van den Bosch , Laura Airas     , Inge Huitinga   , Tanja Kuhlmann","Klotz, L., Smolders, J., Lehto, J., Matilainen, M., Lütje, L., Buchholz, L., ... & Kuhlmann, T. (2025). Broad rim lesions are a new pathological and imaging biomarker for rapid disease progression in multiple sclerosis. Nature Medicine, 1-11.","Multiple sclerosis (MS) is an inflammatory disease of the central nervous system characterized by myelin loss and progressive neurodegeneration. To understand MS lesion initiation and progression, we generate spatial gene expression maps of white matter (WM) and grey matter (GM) MS lesions. In different MS lesion types, we detect domains characterized by a distinct gene signature, including an identifiable rim around active WM lesions. Expression changes in astrocyte-specific, oligodendrocyte-specific and microglia-specific gene sets characterize the active lesion rims. Furthermore, we identify three WM lesion progression trajectories, predicting how normal-appearing WM can develop into WM active or mixed active-inactive lesions. Our data shed light on the dynamic progression of MS lesions.",10.1038/s41591-025-03625-7,4/29/25,brain,no,No,,NA
ST078,GSE279181,MS,Human,18,39501036,10x genomics,Visium,Cell type mapping reveals tissue niches and interactions in subcortical multiple sclerosis lesions,Nature Neuroscience,"Celia Lerma-Martin  , Pau Badia-I-Mompel    , Ricardo O Ramirez Flores  , Patricia Sekol , Philipp S L Schäfer  , Christian J Riedl  , Annika Hofmann , Thomas Thäwel , Florian Wünnemann , Miguel A Ibarra-Arellano , Tim Trobisch , Philipp Eisele  , Denis Schapiro   , Maximilian Haeussler , Simon Hametner  , Julio Saez-Rodriguez  , Lucas Schirmer","Lerma-Martin, C., Badia-i-Mompel, P., Ramirez Flores, R. O., Sekol, P., Schäfer, P. S., Riedl, C. J., ... & Schirmer, L. (2024). Cell type mapping reveals tissue niches and interactions in subcortical multiple sclerosis lesions. Nature neuroscience, 27(12), 2354-2365.","Multiple sclerosis (MS) is a chronic inflammatory disease of the central nervous system. Inflammation is gradually compartmentalized and restricted to specific tissue niches such as the lesion rim. However, the precise cell type composition of such niches, their interactions and changes between chronic active and inactive stages are incompletely understood. We used single-nucleus and spatial transcriptomics from subcortical MS and corresponding control tissues to map cell types and associated pathways to lesion and nonlesion areas. We identified niches such as perivascular spaces, the inflamed lesion rim or the lesion core that are associated with the glial scar and a cilia-forming astrocyte subtype. Focusing on the inflamed rim of chronic active lesions, we uncovered cell-cell communication events between myeloid, endothelial and glial cell types. Our results provide insight into the cellular composition, multicellular programs and intercellular communication in tissue niches along the conversion from a homeostatic to a dysfunctional state underlying lesion progression in MS.",10.1038/s41593-024-01796-z,11/5/24,subcortical white matter,no,Yes,,H&E
ST079,GSE226663,AD/PD,Human,10,38368460,,Visium,"Common mitochondrial deletions in RNA-Seq: evaluation of bulk, single-cell, and spatial transcriptomic datasets","Communications Biology,","Omidsalar, A.A., McCullough, C.G., Xu, L., Boedijono, S., Gerke, D., Webb, M.G., Manojlovic, Z., Sequeira, A., Lew, M.F., Santorelli, M. and Serrano, G.E.","Omidsalar, A. A., McCullough, C. G., Xu, L., Boedijono, S., Gerke, D., Webb, M. G., ... & Hjelm, B. E. (2024). Common mitochondrial deletions in RNA-Seq: evaluation of bulk, single-cell, and spatial transcriptomic datasets. Communications Biology, 7(1), 200.","Common mitochondrial DNA (mtDNA) deletions are large structural variants in the mitochondrial genome that accumulate in metabolically active tissues with age and have been investigated in various diseases. We applied the Splice-Break2 pipeline (designed for high-throughput quantification of mtDNA deletions) to human RNA-Seq datasets and describe the methodological considerations for evaluating common deletions in bulk, single-cell, and spatial transcriptomics datasets. A robust evaluation of 1570 samples from 14 RNA-Seq studies showed: (i) the abundance of some common deletions detected in PCR-amplified mtDNA correlates with levels observed in RNA-Seq data; (ii) RNA-Seq library preparation method has a strong effect on deletion detection; (iii) deletions had a significant, positive correlation with age in brain and muscle; (iv) deletions were enriched in cortical grey matter, specifically in layers 3 and 5; and (v) brain regions with dopaminergic neurons (i.e., substantia nigra, ventral tegmental area, and caudate nucleus) had remarkable enrichment of common mtDNA deletions.
",10.1038/s42003-024-05877-4,2/17/24,,,,,H&E
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,Clonal relations in the mouse brain revealed by single-cell and spatial transcriptomics,,,,,,,,,,,
,,,,,,,,A spatially resolved brain region- and cell type-specific isoform atlas of the postnatal mouse brain,,,,,,,,,,,
,,,,,,,,Spatiotemporal transcriptomic atlas of mouse organogenesis using DNA nanoball-patterned arrays,,,,,,,,,,,
,,,,,,,,Multiomic Integration Neuroscience Application Note: Visium for FFPE Plus Immunofluorescence Alzheimer's Disease Mouse Model Brain Coronal Sections from One Hemisphere Over a Time Course,,,,,,,,,,,
,,,,,,,,"Adult Mouse Brain (FFPE)        Adult Mouse Brain, IF Stained (FFPE)
Mouse Brain Section (Coronal)
Mouse Brain Section (Coronal)
Mouse Brain Serial Section 1 (Sagittal-Anterior)
Mouse Brain Serial Section 1 (Sagittal-Posterior)
Mouse Brain Serial Section 2 (Sagittal-Anterior)
Mouse Brain Serial Section 2 (Sagittal-Posterior)
Mouse Brain Section (Coronal)
Mouse Brain Serial Section 1 (Sagittal-Anterior)
Mouse Brain Serial Section 1 (Sagittal-Posterior)
Mouse Brain Serial Section 2 (Sagittal-Anterior)
Mouse Brain Serial Section 2 (Sagittal-Posterior)       Adult Mouse Brain Section 1 (Coronal). Stains: DAPI, Anti-NeuN
Adult Mouse Brain Section 2 (Coronal). Stains: DAPI, Anti-GFAP, Anti-NeuN",,,,,,,,,,,
,,,,,,,,"Adult Human Brain 1 (Cerebral Cortex, Unknown orientation). Stains: Anti-GFAP, Anti-NFH; Adult Human Brain 2 (Cerebral Cortex, Unknown orientation). Stains: Anti-SNAP25, Anti-NFH",,,,,,,,,,,
,,,,,,,,"Human Cerebellum: Targeted, Neuroscience Panel ; Human Cerebellum: Targeted-Compare, Neuroscience Panel; 
Human Cerebellum: Whole Transcriptome Analysis",,,,,,,,,,,
,,,,,,,,Spatially resolved transcriptomics reveals genes associated with the vulnerability of middle temporal gyrus in Alzheimer's disease,,,,,,,,,,,
,,,,,,,,Microglial INPP5D limits plaque formation and glial reactivity in the PSAPP mouse model of Alzheimer’s disease,,,,,,,,,,,
,,,,,,,,"APOE modulates microglial immunometabolism in response to age, amyloid pathology, and inflammatory challenge",,,,,,,,,,,
,,,,,,,,Moxibustion improves hypothalamus Aqp4 polarization in APP/PS1 mice: Evidence from spatial transcriptomics,,,,,,,,,,,
,,,,,,,,Multi-transcriptomics reveals brain cellular responses to peripheral infection in Alzheimer’s disease model mice,,,,,,,,,,,
,,,,,,,,Integrated multimodal cell atlas of Alzheimer’s disease: SEA-AD MERFISH,,,,,,,,,,,
,,,,,,,,Integrative in situ mapping of single-cell transcriptional states and tissue histopathology in a mouse model of Alzheimer’s disease,,,,,,,,,,,
,,,,,,,,Cell type-specific inference of differential expression in spatial transcriptomics,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,Large-Scale Integration of Single-Cell RNA-Seq Data Reveals Astrocyte Diversity and Transcriptomic Modules across Six Central Nervous System Disorders (public data collection),,,,,,,,,,,
,https://doi.org/10.5281/zenodo.10520022,,,,,,,Spotiphy enables single-cell spatial whole transcriptomics across an entire section,,,,,,,,,,,
,,,,,,,,Human disease-specific cell signatures in non-lesional tissue in Multiple Sclerosis detected by single-cell and spatial transcriptomics (preprint and no data),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,Tau Accumulation Induces Microglial State Alterations in Alzheimer's Disease Model Mice,,,,,,,,,,,
,,,,,,,,Exploring Cellular Heterogeneity: Single-Cell and Spatial Transcriptomics of Alzheimer Disease Brains and iPSC‑Derived Microglia,,,,,,,,,,,
,,,,,,,,Molecular Signatures of Resilience to Alzheimer's Disease in Neocortical Layer 4 Neurons,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,Metabolic stress and age drive inflammation and cognitive decline in mice and humans,,,,,,,,,,,
,,,,,,,,Peripheral HMGB1 is linked to O3 pathology of disease-associated astrocytes and amyloid,,,,,,,,,,,
,,,,,,,,Spatial transcriptomics shows moxibustion promotes hippocampus astrocyte and neuron interaction,,,,,,,,,,,
,,,,,,,,SCAN: Spatiotemporal Cloud Atlas for Neural cells （数据库）,,,,,,,,,,,
,,,,,,,,High‑Resolution Spatial Profiling of Microglia Reveals Proximity‑Associated Immunometabolic Reprogramming in Alzheimer’s Disease,,,,,,,,,,,
,,,,,,,,Single‑nucleus and spatial transcriptomic profiling of human temporal cortex and white matter reveals novel associations with AD pathology,,,,,,,,,,,
,,,,,,,,Transformation of non-neuritic into neuritic plaques during AD progression drives cortical spread of tau pathology via regenerative failure,,,,,,,,,,,
,,,,,,,,Neurons burdened by DNA double-strand breaks incite microglia activation through antiviral-like signaling in neurodegeneration,,,,,,,,,,,
,,,,,,,,"Isotope Encoded Spatial Biology Identifies Amyloid Plaque-Age-Dependent Structural Maturation, Synaptic Loss, and Increased Toxicity",,,,,,,,,,,
,,,,,,,,Generation of an inducible destabilized-domain Cre mouse line to target disease associated microglia,,,,,,,,,,,
,,,,,,,,"Isotope Encoded chemical Imaging Identifies Amyloid Plaque Age Dependent Structural Maturation, Synaptic Loss, and Increased Toxicity",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,corresponding author on reasonable request,AD,,,,,,Single-cell and spatial transcriptomics reveals that PTPRG activates the m6A methyltransferase VIRMA to block mitophagy-mediated neuronal death in Alzheimer’s disease,,,,,,,,,,,
,corresponding author on reasonable request,MS ,,,,,,Identifying CNS-colonizing T cells as potential therapeutic targets to prevent progression of multiple sclerosis,,,,,,,,,,,
,corresponding author on reasonable request,MS ,,,,,,Spatial transcriptomics and neurofilament light chain reveal changes in lesion patterns in murine autoimmune neuroinflammation,,,,,,,,,,,
,corresponding author on reasonable request,MS ,,,,,,Transcriptomic changes in autophagy-related genes are inversely correlated with inflammation and are associated with multiple sclerosis lesion pathology,,,,,,,,,,,
,corresponding author on reasonable request,MS ,,,,,,Broad rim lesions are a new pathological and imaging biomarker for rapid disease progression in multiple sclerosis,,,,,,,,,,,
,corresponding author on reasonable request,PD,,,,,,Quinpirole ameliorates the dysfunction of microglia in human LRRK2-R1441G transgenic mice,,,,,,,,,,,
ST048,CNP0003397 (application needed),PD,,8,,,,"Single-cell spatial transcriptomic and translatomic profiling of dopaminergic neurons in health, aging, and disease",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ST033,CosMx SMI Human Frontal Cortex FFPE Dataset | NanoString； https://www.10xgenomics.com/cn/datasets/xenium-human-brain-preview-data-1-standard,AD,Human,3,40329537,10x genomics; Nanostring,CosMx; Xenium,Integrating spatial transcriptomics and snRNA-seq data enhances differential gene expression analysis results of AD-related phenotypes,HGG Advances,Shizhen Tang et al.,"Tang S et al., HGG Advances 2025","Integrated Visium DLPFC ST data with snRNA-seq from 436 brains (ROSMAP). The combined analysis uncovered novel DEGs and regulatory pathways (e.g. TNF, mTOR) linked to neuropathology and APOE genotype that were missed by single modalities.",10.1016/j.xhgg.2025.100447,5-May-25,Dorsolateral prefrontal cortex,no treatment,no,,CosMx 4 channel;
ST046,syn62109935,AD,Human / Mouse,32 (17 individuals),40060644,10x genomics,Visium,PLXNB1 and other signaling drives a pathologic astrocyte state contributing to cognitive decline in Alzheimer's Disease？,bioRxiv,"Natacha Comandante-Lou, Tsering Lama, Kevin Chen, Jinglong Zhang, Bin Hu, Shuhui Liu, Sarah Heuer, Kristen J Brennand, Julie Schneider, Lisa Barnes, Bin Zhang, Minghui Wang, Hongyan Zou, Roland H Friedel, Yiyi Ma, Tracy Young-Pearse, Aiqun Li, Masashi Fujita, David Bennett, Ya Zhang, Vilas Menon, Hans-Ulrich Klein, Mariko Taga, Philip L De Jager","Comandante-Lou, N., Lama, T., Chen, K., Zhang, J., Hu, B., Liu, S., ... & De Jager, P. L. (2025). PLXNB1 and other signaling drives a pathologic astrocyte state contributing to cognitive decline in Alzheimer’s Disease. bioRxiv, 2025-02.","Alzheimer's disease (AD) is marked by the coordinated emergence of disease-associated cell states across multiple cell types. Here, we first performed a meta-analysis of single-nucleus transcriptomic (snRNAseq) data from 869 brains of diverse decedents, confirming the critical role of an SLC38A2 high SMTN high CACNA1D high astrocyte subset, Astrocyte 10 (Ast10), in AD and aging-related cognitive decline. We then investigated the signaling drivers of Ast10's emergence in the aging brain, focusing on interactions among microglial and astrocytic subsets. Analysis of the snRNAseq data prioritized a set of ligands and receptors that are robustly predictive of Ast10 proportions across participants, and we confirm our predictions in multiple studies. Independent validation with spatial transcriptomics reveals striking colocalization of these prioritized ligands with the Ast10 signature in AD brain tissue, but not with other astrocytic states. Genetic ablation of a top receptor PLXNB1 in murine and human iPSC-derived astrocytes decreased the Ast10 signature, confirming its regulatory role. Finally, we find that Ast10 may contribute to cognitive decline through synaptic loss and is associated with cognitive decline independent of AD. Thus, Ast10 and its regulators are potential points of convergence for multiple neurodegenerative mechanisms and may be promising targets for therapeutic development to preserve cognitive function.",10.1101/2025.02.24.639868,2/25/25,Hippocampus / Prefrontal cortex,no,No,,
